MAINTENANCE_AGENCY_ID,CUBE_RELATIONSHIP_ID,CODE,NAME,DESCRIPTION,TYPE_OF_RELATIONSHIP,VALID_FROM,VALID_TO,VERSION,PRIMARY_CUBE_ID,PRIMARY_CUBE_VARIABLE_CODE,FOREIGN_CUBE_ID,FOREIGN_CUBE_VARIABLE_CODE,PRIMARY_CUBE_CARDINALITY,FOREIGN_CUBE_CARDINALITY,PRIMARY_CUBE_MANDATORINESS,FOREIGN_CUBE_MANDATORINESS
ECB,ANCRDT_INSTRMNT_C__ANCRDT_FNNCL_C__DT_RFRNC__1,ANCRDT_INSTRMNT_C__ANCRDT_FNNCL_C__DT_RFRNC__1,AnaCredit - Instrument-Financial - Date of reference,Financial information on the instrument,ASS,1999-01-01,9999-12-31,1,ANCRDT_INSTRMNT_C_1,DT_RFRNC,ANCRDT_FNNCL_C_1,DT_RFRNC,1,1,true,true
ECB,ANCRDT_INSTRMNT_C__ANCRDT_FNNCL_C__CNTRCT_ID__1,ANCRDT_INSTRMNT_C__ANCRDT_FNNCL_C__CNTRCT_ID__1,AnaCredit - Instrument-Financial - Contract ID,Financial information on the instrument,ASS,1999-01-01,9999-12-31,1,ANCRDT_INSTRMNT_C_1,CNTRCT_ID,ANCRDT_FNNCL_C_1,CNTRCT_ID,1,1,true,true
ECB,ANCRDT_INSTRMNT_C__ANCRDT_ACCNTNG_C__DT_RFRNC__1,ANCRDT_INSTRMNT_C__ANCRDT_ACCNTNG_C__DT_RFRNC__1,AnaCredit - Instrument-Accounting - Date of reference,Accounting information on the instrument,ASS,1999-01-01,9999-12-31,1,ANCRDT_INSTRMNT_C_1,DT_RFRNC,ANCRDT_ACCNTNG_C_1,DT_RFRNC,1,1,true,true
ECB,ANCRDT_INSTRMNT_C__ANCRDT_ACCNTNG_C__CNTRCT_ID__1,ANCRDT_INSTRMNT_C__ANCRDT_ACCNTNG_C__CNTRCT_ID__1,AnaCredit - Instrument-Accounting - Contract ID,Accounting information on the instrument,ASS,1999-01-01,9999-12-31,1,ANCRDT_INSTRMNT_C_1,CNTRCT_ID,ANCRDT_ACCNTNG_C_1,CNTRCT_ID,1,1,true,true
ECB,ANCRDT_INSTRMNT_C__ANCRDT_FNNCL_C__INSTRMNT_ID__1,ANCRDT_INSTRMNT_C__ANCRDT_FNNCL_C__INSTRMNT_ID__1,AnaCredit - Instrument-Financial - Instrument ID,Financial information on the instrument,ASS,1999-01-01,9999-12-31,1,ANCRDT_INSTRMNT_C_1,INSTRMNT_ID,ANCRDT_FNNCL_C_1,INSTRMNT_ID,1,1,true,true
ECB,ANCRDT_INSTRMNT_C__ANCRDT_ACCNTNG_C__INSTRMNT_ID__1,ANCRDT_INSTRMNT_C__ANCRDT_ACCNTNG_C__INSTRMNT_ID__1,AnaCredit - Instrument-Accounting - Instrument ID,Accounting information on the instrument,ASS,1999-01-01,9999-12-31,1,ANCRDT_INSTRMNT_C_1,INSTRMNT_ID,ANCRDT_ACCNTNG_C_1,INSTRMNT_ID,1,1,true,true
ECB,ANCRDT_INSTRMNT_C__ANCRDT_FNNCL_C__OBSRVD_AGNT_CD__1,ANCRDT_INSTRMNT_C__ANCRDT_FNNCL_C__OBSRVD_AGNT_CD__1,AnaCredit - Instrument-Financial - Observed agent code,Financial information on the instrument,ASS,1999-01-01,9999-12-31,1,ANCRDT_INSTRMNT_C_1,OBSRVD_AGNT_CD,ANCRDT_FNNCL_C_1,OBSRVD_AGNT_CD,1,1,true,true
ECB,ANCRDT_INSTRMNT_C__ANCRDT_ACCNTNG_C__OBSRVD_AGNT_CD__1,ANCRDT_INSTRMNT_C__ANCRDT_ACCNTNG_C__OBSRVD_AGNT_CD__1,AnaCredit - Instrument-Accounting - Observed agent code,Accounting information on the instrument,ASS,1999-01-01,9999-12-31,1,ANCRDT_INSTRMNT_C_1,OBSRVD_AGNT_CD,ANCRDT_ACCNTNG_C_1,OBSRVD_AGNT_CD,1,1,true,true
ECB,ANCRDT_INSTRMNT_C__ANCRDT_ENTTY_INSTRMNT_C__DT_RFRNC__1,ANCRDT_INSTRMNT_C__ANCRDT_ENTTY_INSTRMNT_C__DT_RFRNC__1,AnaCredit - Instrument-Entity Instrument - Date of reference,Relationship between the Instrument table and the linking Entity-Instrument table,ASS,1999-01-01,9999-12-31,1,ANCRDT_INSTRMNT_C_1,DT_RFRNC,ANCRDT_ENTTY_INSTRMNT_C_1,DT_RFRNC,1,N,true,true
ECB,ANCRDT_INSTRMNT_C__ANCRDT_ENTTY_INSTRMNT_C__CNTRCT_ID__1,ANCRDT_INSTRMNT_C__ANCRDT_ENTTY_INSTRMNT_C__CNTRCT_ID__1,AnaCredit - Instrument-Entity Instrument - Contract ID,Relationship between the Instrument table and the linking Entity-Instrument table,ASS,1999-01-01,9999-12-31,1,ANCRDT_INSTRMNT_C_1,CNTRCT_ID,ANCRDT_ENTTY_INSTRMNT_C_1,CNTRCT_ID,1,N,true,true
