CUBE_STRUCTURE_ITEM_ID,CUBE_STRUCTURE_ID,CUBE_VARIABLE_CODE,VARIABLE_ID,ROLE,ORDER,SUBDOMAIN_ID,VARIABLE_SET_ID,MEMBER_ID,DIMENSION_TYPE,ATTRIBUTE_ASSOCIATED_VARIABLE,IS_FLOW,IS_MANDATORY,DESCRIPTION,IS_IMPLEMENTED
ANCRDT_FNNCL_C_1__ARRRS,ANCRDT_FNNCL_C_1,ARRRS,ARRRS,O,10,MNTRY_NN_NGTV_2D,,,,,false,false,"Aggregate amount of principal, interest and any fee payment outstanding at the reporting date, which is contractually due and has not been paid (past due). This amount is always to be reported. '0' is to be reported if the instrument was not past due on t",true
ANCRDT_ENTTY_RSK_C_1__PD,ANCRDT_ENTTY_RSK_C_1,PD,PD,O,4,RL_0TO1_6D,,,,,false,false,"The counterparty's probability of default over one year, determined in accordance with Articles 160, 163, 179 and 180 of Regulation (EU) No 575/2013.",true
ANCRDT_INSTRMNT_C_1__RCRS,ANCRDT_INSTRMNT_C_1,RCRS,RCRS,O,21,RCRS_ANCRDT_CLLCTN,,,,,false,false,Classification of instruments based on the creditor's rights to seize assets other than any protection pledged to secure the instrument.,true
ANCRDT_INSTRMNT_C_1__PRPS,ANCRDT_INSTRMNT_C_1,PRPS,PRPS,O,20,PRPS_ANCRDT_CLLCTN,,,,,false,false,Classification of instruments according to their purpose.,true
ANCRDT_FNNCL_C_1__DT_RFRNC,ANCRDT_FNNCL_C_1,DT_RFRNC,DT_RFRNC,D,2,DT_END_MNTH_YYYY_MM_DD,,,T,,false,true,,true
ANCRDT_INSTRMNT_C_1__FDCRY,ANCRDT_INSTRMNT_C_1,FDCRY,FDCRY,O,8,FDCRY_ANCRDT_CLLCTN,,,,,false,false,Identification of instruments in which the observed agent acts in its own name but on behalf of and with the risk borne by a third party.,true
ANCRDT_FNNCL_C_1__DT_PST_D,ANCRDT_FNNCL_C_1,DT_PST_D,DT_PST_D,O,11,DT_FLL_YYYY_MM_DD,,,,,false,false,The date on which the instrument became past due in accordance with Part 2.48 of Annex V to Implementing Regulation (EU) No 680/2014. This is the latest such date prior to the reporting reference date and it is to be reported if the instrument is past due,true
ANCRDT_FNNCL_C_1__CNTRCT_ID,ANCRDT_FNNCL_C_1,CNTRCT_ID,CNTRCT_ID,D,3,STRNG_RSTRCTD_ID_60,,,B,,false,true,An identifier applied by the reporting agent to uniquely identify each contract. Each contract shouldÂ  have one contract identifier. This value will not change over time and cannot be used as the contract identifier for any other contract.,true
ANCRDT_FNNCL_C_1__DFLT_STTS,ANCRDT_FNNCL_C_1,DFLT_STTS,DFLT_STTS,O,7,CRDT_QLTY_DFLT_STTS_ANCRDT_CLLCTN,,,,,false,false,Identification of the default status. Categories describing the situations in which an instrument or counterparty can be described as being at default in accordance with Article 178 of Regulation (EU) No 575/2013.,true
ANCRDT_FNNCL_C_1__NEVS_ARRRS,ANCRDT_FNNCL_C_1,NEVS_ARRRS,NEVS,A,111,NEVS_CLLCTN_WTHT_NA,,,,ARRRS,false,false,,true
ANCRDT_ACCNTNG_C_1__DT_RFRNC,ANCRDT_ACCNTNG_C_1,DT_RFRNC,DT_RFRNC,D,2,DT_END_QRTR_YYYY_MM_DD,,,T,,false,true,,true
ANCRDT_ENTTY_RSK_C_1__NEVS_PD,ANCRDT_ENTTY_RSK_C_1,NEVS_PD,NEVS,A,105,NEVS_CLLCTN_WTHT_NA,,,,PD,false,false,,true
ANCRDT_FNNCL_C_1__TYP_SCRTSTN,ANCRDT_FNNCL_C_1,TYP_SCRTSTN,TYP_SCRTSTN,O,12,TYP_TRNSFR_ANCRDT_CLLCTN,,,,,false,false,"Identification of the securitisation type, in accordance with Article 242(10) and (11) of Regulation (EU) No 575/2013.",true
ANCRDT_ACCNTNG_C_1__CNTRCT_ID,ANCRDT_ACCNTNG_C_1,CNTRCT_ID,CNTRCT_ID,D,3,STRNG_RSTRCTD_ID_60,,,B,,false,true,An identifier applied by the reporting agent to uniquely identify each contract. Each contract shouldÂ  have one contract identifier. This value will not change over time and cannot be used as the contract identifier for any other contract.,true
ANCRDT_FNNCL_C_1__INSTRMNT_ID,ANCRDT_FNNCL_C_1,INSTRMNT_ID,INSTRMNT_ID,D,4,STRNG_RSTRCTD_ID_60,,,B,,false,true,An identifier applied by the reporting agent to uniquely identify each instrument under a single contract. Each instrument must have one instrument identifier. This value will not change over time and cannot be used as the instrument identifier for any other instrument under the same contract.,true
ANCRDT_INSTRMNT_C_1__RFRNC_RT,ANCRDT_INSTRMNT_C_1,RFRNC_RT,RFRNC_RT,O,22,RFRNC_RT_ANCRDT_CLLCTN,,,,,false,false,"The reference rate code is a combination of the reference rate value and maturity value. The following reference rate values must be used: Euribor, USD LIBOR, GBP LIBOR, EUR LIBOR, JPY LIBOR, CHF LIBOR, MIBOR, other single reference rates, other multiple",true
ANCRDT_INSTRMNT_C_1__DT_RFRNC,ANCRDT_INSTRMNT_C_1,DT_RFRNC,DT_RFRNC,D,2,DT_END_MNTH_YYYY_MM_DD,,,T,,false,true,,true
ANCRDT_INSTRMNT_C_1__CNTRCT_ID,ANCRDT_INSTRMNT_C_1,CNTRCT_ID,CNTRCT_ID,D,3,STRNG_RSTRCTD_ID_60,,,B,,false,true,An identifier applied by the reporting agent to uniquely identify each contract. Each contract shouldÂ  have one contract identifier. This value will not change over time and cannot be used as the contract identifier for any other contract.,true
ANCRDT_FNNCL_C_1__ACCRD_INTRST,ANCRDT_FNNCL_C_1,ACCRD_INTRST,ACCRD_INTRST,O,14,MNTRY_ALL_2D,,,,,false,false,"The amount of accrued interest on loans at the reporting reference date as defined in Regulation (EU) No 1071/2013 (ECB/2013/33). In accordance with the general principle of accruals accounting, interest receivable on instruments should be subject to on-b",true
ANCRDT_INSTRMNT_C_1__NEVS_RCRS,ANCRDT_INSTRMNT_C_1,NEVS_RCRS,NEVS,A,117,NEVS_CLLCTN_WTHT_NA,,,,RCRS,false,false,,true
ANCRDT_FNNCL_C_1__DT_DFLT_STTS,ANCRDT_FNNCL_C_1,DT_DFLT_STTS,DT_DFLT_STTS,O,8,DT_FLL_YYYY_MM_DD,,,,,false,false,"The date on which the default status, as reported in the data attribute 'Default status', is considered to have arisen.",true
ANCRDT_JNT_LBLTS_C_1__DT_RFRNC,ANCRDT_JNT_LBLTS_C_1,DT_RFRNC,DT_RFRNC,D,2,DT_END_MNTH_YYYY_MM_DD,,,T,,false,true,,true
ANCRDT_INSTRMNT_C_1__NEVS_PRPS,ANCRDT_INSTRMNT_C_1,NEVS_PRPS,NEVS,A,116,NEVS_CLLCTN_WTHT_NA,,,,PRPS,false,false,,true
