MAINTENANCE_AGENCY_ID,DOMAIN_ID,NAME,IS_ENUMERATED,DESCRIPTION,DATA_TYPE,CODE,FACET_ID,IS_REFERENCE
ECB,RL,Real,false,Real,number,RL,,true
ECB,DT,Date,false,Date,date,DT,,true
ECB,NEVS,Null explanatory values,true,Null explanatory values,integer(6),NEVS,,true
ECB,RCRS,Recourse,true,Recourse,integer(6),RCRS,,true
ECB,PRPS,Purpose,true,Purpose,integer(6),PRPS,,true
ECB,STRNG,String,false,String,string,STRNG,,true
ECB,MNTRY,Monetary,false,Monetary,number,MNTRY,,true
ECB,FDCRY,Fiduciary instruments,true,Fiduciary instruments,integer(6),FDCRY,,true
ECB,CRRNCY,Currencies,true,Currencies,string(20),CRRNCY,,true
ECB,FRQNCY,Frequency,true,Frequency,integer(6),FRQNCY,,true
ECB,ENTTY_RL,Counterparty role,true,Role of the counterparties in an instrument.,integer(6),ENTTY_RL,,true
ECB,RFRNC_RT,Reference rate code,true,Reference rate code,integer(6),RFRNC_RT,,true
ECB,CRDT_QLTY,Credit quality,true,Credit quality,integer(6),CRDT_QLTY,,true
ECB,TYP_PRTCTN,Type of protection,true,Type of protection,integer(6),TYP_PRTCTN,,true
ECB,TYP_TRNSFR,Type of Transfer,true,Type of Transfer,integer(6),TYP_TRNSFR,,true
ECB,GGRPHCL_ARS,Geographical Area,true,Geographical Area,string(20),GGRPHCL_ARS,,true
ECB,TYP_AMRTSTN,Amortisation type,true,Amortisation type,integer(6),TYP_AMRTSTN,,true
ECB,RCGNTN_STTS,Recognition,true,Recognition,integer(6),RCGNTN_STTS,,true
ECB,SBRDNTD_DBT,Subordinated debt,true,Subordinated debt,integer(6),SBRDNTD_DBT,,true
ECB,FRBRNC_STTS,Forbearance status,true,Forbearance status,integer(6),FRBRNC_STTS,,true
ECB,TYP_INSTRMNT,Type of instrument,true,Type of instrument,integer(6),TYP_INSTRMNT,,true
ECB,SRC_ENCMBRNC,Encumbrance,true,Encumbrance,integer(6),SRC_ENCMBRNC,,true
ECB,PRDNTL_PRTFL,Prudential portfolio,true,Prudential portfolio,integer(6),PRDNTL_PRTFL,,true
ECB,RPYMNT_RGHTS,Repayment rights,true,Repayment rights,integer(6),RPYMNT_RGHTS,,true
ECB,TYP_PRTCTN_VL,Type of protection value,true,Identification of the type of value provided in the data attribute ‘Protection value’.,integer(6),TYP_PRTCTN_VL,,true
ECB,TYP_INTRST_RT,Interest rate type,true,Interest rate type,integer(6),TYP_INTRST_RT,,true
ECB,PRJCT_FNNC_LN,Project finance loans,true,Project finance loans,integer(6),PRJCT_FNNC_LN,,true
ECB,ACCNTNG_CLSSFCTN,Accounting classification,true,Accounting classification,integer(6),ACCNTNG_CLSSFCTN,,true
ECB,PRTCTN_VLTN_APPRCH,Protection valuation approach,true,Type of protection valuation; method used to determine the protection value.,integer(6),PRTCTN_VLTN_APPRCH,,true
ECB,IMPRMNT_ASSSSMNT_MTHD,Impairment assessment method,true,"The method by which the impairment is assessed, if the instrument is subject to impairment in accordance with applied accounting standards. Collective and individual methods are distinguished.",integer(6),IMPRMNT_ASSSSMNT_MTHD,,true
