MAINTENANCE_AGENCY_ID,MEMBER_HIERARCHY_ID,CODE,DOMAIN_ID,NAME,DESCRIPTION,IS_MAIN_HIERARCHY
ECB,PRPS_HIER_3,3,PRPS,Classification of instruments according to their purpose hierarchy for BIRD and FINREP integration,Classification of instruments according to their purpose hierarchy for BIRD and FINREP integration,true
ECB,PRPS_HIER_2,2,PRPS,Classification of instruments according to their purpose hierarchy according to BSI and Finrep,"Hierarchical structure of the Member Credit for consumption, Lending for house purchase, lending other than for consumption and house purchase",false
ECB,PRPS_HIER_1,1,PRPS,Classification of instruments according to their purpose hierarchy,Hierarchical structure of the Member All types of purposes (-1),true
ECB,CRRNCY_HIER_1,CRRNCY_HIER_1,CRRNCY,All currencies hierarchy,Hierarchical structure of all the currencies,true
ECB,SRC_ENCMBRNC_IL,SRC_ENCMBRNC_IL,SRC_ENCMBRNC,Source of encumbrance hierarchy,Hierarchical structure of those Members of the Domain Source of encumbrance that are used in the Input Layer.,false
ECB,PRJCT_FNNC_LN_1,1,PRJCT_FNNC_LN,Project finance loans domain hierarchy,Hierarchical structure of the domain project finance loans,true
ECB,CRDT_QLTY_HIER_6,6,CRDT_QLTY,Credit Quality hierarchy for BIRD Data Models and FINREP,Hierarchical structure of Credit Quality for BIRD Data Models and FINREP,false
ECB,CRDT_QLTY_HIER_2,2,CRDT_QLTY,"Impaired, Non-impaired hierarchy","Hierarchical structure of the member Impaired, Non-impaired (17)",false
ECB,CRDT_QLTY_HIER_3,3,CRDT_QLTY,"Default, Not in default hierarchy","Hierarchical structure of the member Default, Not in default (10)",false
ECB,SRC_ENCMBRNC_ALL,SRC_ENCMBRNC_ALL,SRC_ENCMBRNC,"Source of encumbrance hierarchy for Encumbered (100), Not encumbered (1)",Hierarchical structure of the Member Encumbered and unencumbered (101),false
ECB,CRDT_QLTY_HIER_5,5,CRDT_QLTY,Performing and non-performing exposures hierarchy,Hierarchical structure of the member Performing and non-performing exposures (15),false
ECB,CRDT_QLTY_HIER_1,1,CRDT_QLTY,All impairment classification according to IFRS and nGAAP hierarchy,Hierarchical structure of the member All impairment classification according to IFRS and nGAAP (Total) (-1),true
ECB,CRDT_QLTY_HIER_4,4,CRDT_QLTY,Allowances hierarchy,"Hierarchical structure of the member Specific allowances (GAAP), General allowances for credit risk, General allowances for banking risk (34)",false
ECB,TYP_PRTCTN_HIER_2,2,TYP_PRTCTN,"Secured, Not secured hierarchy","Hierarchical structure of the member Secured, Not secured (1)",false
ECB,TYP_TRNSFR_HIER_2,2,TYP_TRNSFR,"Types of risk transfer hierarchy according to CRR, Article (10), (11)","Hierarchical structure of the Member All types of risk transfer according to CRR, Article (10), (11) (100)",false
ECB,TYP_PRTCTN_HIER_6,6,TYP_PRTCTN,Collateral hierarchy,Hierarchical structure of the member Collateral (73),false
ECB,TYP_PRTCTN_HIER_3,3,TYP_PRTCTN,"Credit derivatives meeting the definition of financial guarantees, Financial guarantees other than credit derivatives hierarchy","Hierarchical structure of the member Credit derivatives meeting the definition of financial guarantees, Financial guarantees other than credit derivatives (25)",false
ECB,TYP_PRTCTN_HIER_1,1,TYP_PRTCTN,All types of protection hierarchy,Hierarchical structure of the member All types of protection (-1),true
ECB,TYP_TRNSFR_HIER_1,1,TYP_TRNSFR,Types of risk transfer hierarchy,Hierarchical structure of the Member All types of risk transfer (-1),true
ECB,TYP_PRTCTN_HIER_5,5,TYP_PRTCTN,Financial guarantee hierarchy,Hierarchical structure of the member Financial guarantee (74),false
ECB,TYP_PRTCTN_HIER_4,4,TYP_PRTCTN,Real estate collateral hierarchy,Hierarchical structure of the member Real estate collateral (82),false
ECB,TYP_PRTCTN_HIER_12,12,TYP_PRTCTN,Collateral hierarchy for BIRD and Finrep,Collateral hierarchy for BIRD and Finrep,true
ECB,GGRPHCL_ARS_HIER_1,1,GGRPHCL_ARS,All countries hierarchy,Hierarchical structure of the member All countries (-1),true
ECB,RCGNTN_STTS_HIER_1,1,RCGNTN_STTS,Types of recognition status hierarchy,Hierarchical structure of the Member All types of recognition status (-1),true
ECB,FRBRNC_STTS_HIER_1,1,FRBRNC_STTS,Forbearance status hierarchy,Hierarchical structure of the Member All exposures with or without a renegotiated instrument or forborne (-1),true
ECB,SBRDNTD_DBT_HIER_1,1,SBRDNTD_DBT,Subordinated debt main hierarchy,"Hierarchical structure of the member Subordinated debt, non-subordinated debt (-1)",true
ECB,TYP_PRTCTN_HIER_11,11,TYP_PRTCTN,Collateral hierarchy for BIRD LDM,Collateral hierarchy for BIRD LDM,true
ECB,GGRPHCL_ARS_HIER_2,2,GGRPHCL_ARS,Inclusions and exclusions of certain territories in country codes - refers to BPM6 – Annex 6,"The exchange of balance of payments, international investment position statistics – BPM6 – Annex 6 Contents of selected country codes. Inclusions and exclusions of certain territories in country codes (apply for all data requests)",false
ECB,FRBRNC_STTS_HIER_2,2,FRBRNC_STTS,Exposure with forbearance measures hierarchy,Hierarchical structure of the member Exposure with forbearance measures (1),false
ECB,TYP_INSTRMNT_HIER_3,3,TYP_INSTRMNT,"Derivatives, Deposits, Debt securities hierarchy","Hierarchical structure of the member Derivatives, Deposits, Debt securities (1664)",false
ECB,RPYMNT_RGHTS_HIER_2,2,RPYMNT_RGHTS,"On demand or short notice, With agreed maturity, Redeemable at notice hierarchy","Hierarchical structure of the Member On demand or short notice, With agreed maturity, Redeemable at notice (6)",false
ECB,TYP_INSTRMNT_HIER_2,2,TYP_INSTRMNT,"Derivatives, Debt securities, Loans and advances, Equity instruments hierarchy","Hierarchical structure of the member Derivatives, Debt securities, Loans and advances, Equity instruments (312)",false
ECB,SRC_ENCMBRNC_HIER_1,1,SRC_ENCMBRNC,Hierarchy for Source of encumbrance,Hierarchy for Source of encumbrance,true
ECB,TYP_INSTRMNT_HIER_6,6,TYP_INSTRMNT,Type of Instrument hierarchy for BIRD Data Models,Type of Instrument hierarchy for BIRD Data Models,true
ECB,TYP_INSTRMNT_HIER_4,4,TYP_INSTRMNT,"Derivatives, Debt securities, Loans and advances hierarchy","Hierarchical structure of the member Derivatives, Debt securities, Loans and advances (1668)",false
ECB,RPYMNT_RGHTS_HIER_1,1,RPYMNT_RGHTS,Types of repayment rights hierarchy,Hierarchical structure of the Member All types of repayment rights (-1),true
ECB,TYP_INSTRMNT_HIER_1,1,TYP_INSTRMNT,All types of instrument hierarchy,Hierarchical structure of the member All types of instrument (-1),true
ECB,TYP_INSTRMNT_HIER_5,5,TYP_INSTRMNT,Derivatives hierarchy,Hierarchical structure of the member Derivatives (310),false
ECB,TYP_INSTRMNT_HIER_17,17,TYP_INSTRMNT,"Equity instruments, Debt securities, Loans and advances, Deposits, Debt securities issued, Other financial liabilities hierarchy","Hierarchical structure of the member Equity instruments, Debt securities, Loans and advances, Deposits, Debt securities issued, Other financial liabilities (1666)",false
ECB,TYP_INSTRMNT_HIER_13,13,TYP_INSTRMNT,Trade receivables hierarchy,Hierarchical structure of the member Trade receivables (71),false
ECB,TYP_INSTRMNT_HIER_23,23,TYP_INSTRMNT,Loans and advances hierarchy according to FinRep,Hierarchical structure of the member Loans and advances (149) according to FinRep,false
