MEMBER_HIERARCHY_ID,MEMBER_ID,LEVEL,PARENT_MEMBER_ID,COMPARATOR,OPERATOR,VALID_FROM,VALID_TO
PRPS_HIER_3,PRPS_-1,1,,=,,1900-01-01,9999-12-31
PRPS_HIER_2,PRPS_16,1,,=,,1900-01-01,9999-12-31
PRPS_HIER_1,PRPS_-1,1,,=,,1900-01-01,9999-12-31
PRPS_HIER_1,PRPS_7,2,PRPS_-1,,+,1900-01-01,9999-12-31
PRPS_HIER_1,PRPS_9,2,PRPS_-1,,+,1900-01-01,9999-12-31
PRPS_HIER_3,PRPS_12,3,PRPS_2,,+,1900-01-01,9999-12-31
PRPS_HIER_1,PRPS_6,2,PRPS_-1,,+,1900-01-01,9999-12-31
PRPS_HIER_2,PRPS_1,2,PRPS_16,,+,1900-01-01,9999-12-31
PRPS_HIER_1,PRPS_8,2,PRPS_-1,,+,1900-01-01,9999-12-31
PRPS_HIER_2,PRPS_3,2,PRPS_16,,+,1900-01-01,9999-12-31
PRPS_HIER_1,PRPS_4,2,PRPS_-1,,+,1900-01-01,9999-12-31
PRPS_HIER_1,PRPS_1,3,PRPS_11,,+,1900-01-01,9999-12-31
PRPS_HIER_2,PRPS_2,2,PRPS_16,,+,1900-01-01,9999-12-31
PRPS_HIER_1,PRPS_5,2,PRPS_-1,,+,1900-01-01,9999-12-31
PRPS_HIER_3,PRPS_2,2,PRPS_-1,=,+,1900-01-01,9999-12-31
PRPS_HIER_1,PRPS_19,3,PRPS_11,,+,1900-01-01,9999-12-31
PRPS_HIER_1,PRPS_12,2,PRPS_-1,,+,1900-01-01,9999-12-31
PRPS_HIER_1,PRPS_13,2,PRPS_-1,,+,1900-01-01,9999-12-31
PRPS_HIER_1,PRPS_11,2,PRPS_-1,=,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_Z01,1,,>=,,1900-01-01,9999-12-31
CRDT_QLTY_HIER_4,CRDT_QLTY_34,1,,=,,1900-01-01,9999-12-31
CRDT_QLTY_HIER_1,CRDT_QLTY_-1,1,,=,,1900-01-01,9999-12-31
CRDT_QLTY_HIER_6,CRDT_QLTY_21,1,,=,,1900-01-01,9999-12-31
CRDT_QLTY_HIER_5,CRDT_QLTY_15,1,,=,,1900-01-01,9999-12-31
CRDT_QLTY_HIER_2,CRDT_QLTY_17,1,,=,,1900-01-01,9999-12-31
CRDT_QLTY_HIER_3,CRDT_QLTY_10,1,,=,,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_INR,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_DKK,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_TRL,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_UZS,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_SDP,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_SDD,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_TMM,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_PYG,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_SAR,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_PLZ,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_LBP,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_PLN,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_IDR,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_XPD,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_XPT,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_CHF,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_MUR,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_GBP,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_ERN,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_XTS,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_SPL,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_CSD,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_KPW,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_MNT,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_-99,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_PGK,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_ALL,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_DJF,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_MDL,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_SZL,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_DOP,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_LVL,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_CYP,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_XAF,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_KHR,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_GEL,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_EUR,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_ADF,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_USD,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_FRF,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_LAK,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_BIF,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_XCD,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_ROL,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
TYP_PRTCTN_HIER_2,TYP_PRTCTN_1,1,,=,,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_CZK,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_XBA,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_VEB,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_VEF,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_BRL,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_UGX,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_KYD,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
CRRNCY_HIER_1,CRRNCY_OMR,2,CRRNCY_Z01,,+,1900-01-01,9999-12-31
