MEMBER_ID,SUBDOMAIN_ID,VALID_FROM,VALID_TO,ORDER
CRRNCY_YER,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_KZT,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_KGS,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_EUR,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_BOB,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_HKD,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_NPR,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_KMF,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_ISK,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_CVE,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_CDF,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_BND,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_XUA,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_NOK,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_SGD,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_GTQ,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_PYG,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_HNL,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_XBD,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_NGN,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_COU,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_CZK,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_SYP,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_SVC,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_GMD,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_BBD,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_AZN,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_MXN,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_STD,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_PLN,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_CLF,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_ZAR,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_RUB,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_MNT,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_KHR,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_LKR,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_XBA,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_BDT,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_SOS,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_JOD,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_COP,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_IDR,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_ZMW,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_DZD,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_CHF,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_TWD,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_USD,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_AUD,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_UAH,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_VES,ISO4217,2018-08-29,9999-12-31,0
CRRNCY_LBP,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_MKD,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_TTD,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_MWK,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_CAD,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_BZD,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_UYI,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_XSU,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_UYW,ISO4217,2018-08-29,9999-12-31,0
CRRNCY_KWD,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_BWP,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_CLP,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_DOP,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_AMD,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_PGK,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_CNY,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_ALL,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_TMT,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_XPT,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_UGX,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_ARS,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_MXV,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_AFN,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_RSD,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_HUF,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_PAB,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_ERN,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_FJD,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_MGA,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_SCR,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_EGP,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_JPY,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_BYN,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_BMD,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_SZL,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_KPW,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_USN,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_FKP,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_ZWL,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_RON,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_VEF,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_AWG,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_AED,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_ILS,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_ETB,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_UYU,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_XOF,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_GYD,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_PKR,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_XPF,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_MRO,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_RWF,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_MAD,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_HRK,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_XCD,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_SAR,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_ANG,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_UZS,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_XDR,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_STN,ISO4217,2018-08-29,9999-12-31,0
CRRNCY_MYR,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_IRR,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_KRW,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_SEK,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_DKK,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_TZS,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_GNF,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_MDL,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_IQD,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_CHE,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_CRC,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_SBD,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_GEL,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_PEN,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_AOA,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_XBB,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_KYD,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_GIP,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_HTG,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_XXX,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_LRD,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_LSL,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_XTS,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_BOV,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_BAM,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_XAF,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_QAR,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_NIO,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_GHS,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_NZD,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_BIF,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_XPD,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_DJF,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_THB,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_NAD,ISO4217,1900-01-01,9999-12-31,0
NEVS_0,NEVS_CLLCTN,1900-01-01,9999-12-31,0
CRRNCY_CHW,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_MUR,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_CUP,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_GBP,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_MZN,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_SDG,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_MVR,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_MMK,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_TND,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_PHP,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_XAG,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_BTN,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_MRU,ISO4217,2018-08-29,9999-12-31,0
CRRNCY_SRD,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_JMD,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_SLL,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_VUV,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_TJS,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_SSP,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_KES,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_TRY,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_XAU,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_BHD,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_VND,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_LAK,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_BSD,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_CUC,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_BRL,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_WST,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_SHP,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_INR,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_TOP,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_LYD,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_XBC,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_BGN,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_OMR,ISO4217,1900-01-01,9999-12-31,0
CRRNCY_MOP,ISO4217,1900-01-01,9999-12-31,0
NEVS_-5,NEVS_CLLCTN,1900-01-01,9999-12-31,0
RCRS_2,RCRS_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RCRS_1,RCRS_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
PRPS_4,PRPS_ANCRDT_CLLCTN,2013-12-01,9999-12-31,0
PRPS_5,PRPS_ANCRDT_CLLCTN,2013-12-01,9999-12-31,0
PRPS_7,PRPS_ANCRDT_CLLCTN,2013-12-01,9999-12-31,0
PRPS_6,PRPS_ANCRDT_CLLCTN,2013-12-01,9999-12-31,0
PRPS_9,PRPS_ANCRDT_CLLCTN,2013-12-01,9999-12-31,0
PRPS_8,PRPS_ANCRDT_CLLCTN,2013-12-01,9999-12-31,0
PRPS_11,PRPS_ANCRDT_CLLCTN,2013-12-01,9999-12-31,0
PRPS_12,PRPS_ANCRDT_CLLCTN,2013-12-01,9999-12-31,0
PRPS_13,PRPS_ANCRDT_CLLCTN,2013-12-01,9999-12-31,0
ENTTY_RL_2,ENTTY_RL_ANCRDT,1900-01-01,9999-12-31,0
ENTTY_RL_3,ENTTY_RL_ANCRDT,1900-01-01,9999-12-31,0
ENTTY_RL_1,ENTTY_RL_ANCRDT,1900-01-01,9999-12-31,0
ENTTY_RL_7,ENTTY_RL_ANCRDT,1900-01-01,9999-12-31,0
NEVS_-5,NEVS_CLLCTN_WTHT_NA,1900-01-01,9999-12-31,0
FDCRY_2,FDCRY_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
FDCRY_1,FDCRY_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_5,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_2,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_7,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_9,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_8,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_6,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_3,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_4,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_10,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_78,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_17,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_19,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_76,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_71,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_62,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_65,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
