ldm_entity,related_entities
SUBDOMAIN,MAINTENANCE_AGENCY:DOMAIN:FACET_COLLECTION
SUBDOMAIN_ENUMERATION,MEMBER:MAINTENANCE_AGENCY:DOMAIN:FACET_COLLECTION:SUBDOMAIN
DOMAIN,MAINTENANCE_AGENCY:FACET_COLLECTION
FACET_COLLECTION,MAINTENANCE_AGENCY
MAINTENANCE_AGENCY,
MEMBER,MAINTENANCE_AGENCY:DOMAIN:FACET_COLLECTION
MEMBER_HIERARCHY,MAINTENANCE_AGENCY:DOMAIN:FACET_COLLECTION
MEMBER_HIERARCHY_NODE,MEMBER_HIERARCHY:MAINTENANCE_AGENCY:DOMAIN:FACET_COLLECTION:MEMBER
VARIABLE,MAINTENANCE_AGENCY:DOMAIN:FACET_COLLECTION
VARIABLE_SET,MAINTENANCE_AGENCY
VARIABLE_SET_ENUMERATION,VARIABLE_SET:MAINTENANCE_AGENCY:VARIABLE:DOMAIN:FACET_COLLECTION:SUBDOMAIN
FRAMEWORK,MAINTENANCE_AGENCY
MEMBER_MAPPING,MAINTENANCE_AGENCY
MEMBER_MAPPING_ITEM,MEMBER_MAPPING:MAINTENANCE_AGENCY:VARIABLE:DOMAIN:FACET_COLLECTION:MEMBER:MEMBER_HIERARCHY
VARIABLE_MAPPING_ITEM,VARIABLE_MAPPING:MAINTENANCE_AGENCY:VARIABLE:DOMAIN:FACET_COLLECTION
VARIABLE_MAPPING,MAINTENANCE_AGENCY
MAPPING_TO_CUBE,MAPPING_DEFINITION:MAINTENANCE_AGENCY:MEMBER_MAPPING:VARIABLE_MAPPING
MAPPING_DEFINITION,MAINTENANCE_AGENCY:MEMBER_MAPPING:VARIABLE_MAPPING
AXIS,TABLE:MAINTENANCE_AGENCY
AXIS_ORDINATE,AXIS:TABLE:MAINTENANCE_AGENCY
CELL_POSITION,TABLE_CELL:TABLE:MAINTENANCE_AGENCY:AXIS_ORDINATE:AXIS
ORDINATE_ITEM,AXIS_ORDINATE:AXIS:TABLE:MAINTENANCE_AGENCY:VARIABLE:DOMAIN:FACET_COLLECTION:MEMBER:MEMBER_HIERARCHY
TABLE,MAINTENANCE_AGENCY
TABLE_CELL,TABLE:MAINTENANCE_AGENCY
CUBE_STRUCTURE,MAINTENANCE_AGENCY
CUBE_STRUCTURE_ITEM,CUBE_STRUCTURE:MAINTENANCE_AGENCY:VARIABLE:DOMAIN:FACET_COLLECTION:SUBDOMAIN:VARIABLE_SET:MEMBER
CUBE,MAINTENANCE_AGENCY:FRAMEWORK:CUBE_STRUCTURE
CUBE_LINK,MAINTENANCE_AGENCY:CUBE:FRAMEWORK:CUBE_STRUCTURE
CUBE_STRUCTURE_ITEM_LINK,CUBE_LINK:MAINTENANCE_AGENCY:CUBE:FRAMEWORK:CUBE_STRUCTURE:CUBE_STRUCTURE_ITEM:VARIABLE:DOMAIN:FACET_COLLECTION:SUBDOMAIN:VARIABLE_SET:MEMBER
COMBINATION,MAINTENANCE_AGENCY:VARIABLE:DOMAIN:FACET_COLLECTION
COMBINATION_ITEM,COMBINATION:MAINTENANCE_AGENCY:VARIABLE:DOMAIN:FACET_COLLECTION:SUBDOMAIN:VARIABLE_SET:MEMBER:MEMBER_HIERARCHY
CUBE_TO_COMBINATION,CUBE:MAINTENANCE_AGENCY:FRAMEWORK:CUBE_STRUCTURE:COMBINATION:VARIABLE:DOMAIN:FACET_COLLECTION
MEMBER_LINK,CUBE_STRUCTURE_ITEM_LINK:CUBE_LINK:MAINTENANCE_AGENCY:CUBE:FRAMEWORK:CUBE_STRUCTURE:CUBE_STRUCTURE_ITEM:VARIABLE:DOMAIN:SUBDOMAIN:FACET_COLLECTION:VARIABLE_SET:MEMBER
ASST_PL,
ASST_PL_CLLTRL_RCVD_ASSGNMNT,ASST_PL:CLLTRL_RL:CLLTRL:PRTCTN_ARRNGMNT:SCRTY_EXCHNG_TRDBL_DRVTV
